codigo_subclasse,descricao,codigo_classe,codigo_grupo,codigo_divisao,secao,versao_cnae
1065-1/01,Fabricação de amidos e féculas de vegetais,10.65-1,10.6,10,C,2.3
1065-1/02,Fabricação de óleo de milho em bruto,10.65-1,10.6,10,C,2.3
1065-1/03,Fabricação de óleo de milho refinado,10.65-1,10.6,10,C,2.3
1066-0/00,Fabricação de alimentos para animais,10.66-0,10.6,10,C,2.3
1069-4/00,Moagem e fabricação de produtos de origem vegetal não especificados anteriormente,10.69-4,10.6,10,C,2.3
1071-6/00,Fabricação de açúcar em bruto,10.71-6,10.7,10,C,2.3
1072-4/01,Fabricação de açúcar de cana refinado,10.72-4,10.7,10,C,2.3
1072-4/02,Fabricação de açúcar de cereais (dextrose) e de beterraba,10.72-4,10.7,10,C,2.3
1081-3/01,Beneficiamento de café,10.81-3,10.8,10,C,2.3
1081-3/02,Torrefação e moagem de café,10.81-3,10.8,10,C,2.3
1082-1/00,Fabricação de produtos à base de café,10.82-1,10.8,10,C,2.3
1091-1/01,Fabricação de produtos de panificação industrial,10.91-1,10.9,10,C,2.3
1091-1/02,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,10.91-1,10.9,10,C,2.3
1092-9/00,Fabricação de biscoitos e bolachas,10.92-9,10.9,10,C,2.3
1093-7/01,Fabricação de produtos derivados do cacau e de chocolates,10.93-7,10.9,10,C,2.3
1093-7/02,"Fabricação de frutas cristalizadas, balas e semelhantes",10.93-7,10.9,10,C,2.3
1094-5/00,Fabricação de massas alimentícias,10.94-5,10.9,10,C,2.3
1095-3/00,"Fabricação de especiarias, molhos, temperos e condimentos",10.95-3,10.9,10,C,2.3
1096-1/00,Fabricação de alimentos e pratos prontos,10.96-1,10.9,10,C,2.3
1099-6/01,Fabricação de vinagres,10.99-6,10.9,10,C,2.3
1099-6/02,Fabricação de pós-alimentícios,10.99-6,10.9,10,C,2.3
1099-6/03,Fabricação de fermentos e leveduras,10.99-6,10.9,10,C,2.3
1099-6/04,Fabricação de gelo comum,10.99-6,10.9,10,C,2.3
1099-6/05,"Fabricação de produtos para infusão (chá, mate, etc.)",10.99-6,10.9,10,C,2.3
1099-6/06,Fabricação de adoçantes naturais e artificiais,10.99-6,10.9,10,C,2.3
1099-6/07,Fabricação de alimentos dietéticos e complementos alimentares,10.99-6,10.9,10,C,2.3
1099-6/99,Fabricação de outros produtos alimentícios não especificados anteriormente,10.99-6,10.9,10,C,2.3
1111-9/01,Fabricação de aguardente de cana-de-açúcar,11.11-9,11.1,11,C,2.3
1111-9/02,Fabricação de outras aguardentes e bebidas destiladas,11.11-9,11.1,11,C,2.3
1112-7/00,Fabricação de vinho,11.12-7,11.1,11,C,2.3
1113-5/01,"Fabricação de malte, inclusive malte uísque",11.13-5,11.1,11,C,2.3
1113-5/02,Fabricação de cervejas e chopes,11.13-5,11.1,11,C,2.3
1121-6/00,Fabricação de águas envasadas,11.21-6,11.2,11,C,2.3
1122-4/01,Fabricação de refrigerantes,11.22-4,11.2,11,C,2.3
1122-4/02,Fabricação de chá mate e outros chás prontos para consumo,11.22-4,11.2,11,C,2.3
1122-4/03,"Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas",11.22-4,11.2,11,C,2.3
1122-4/04,Fabricação de bebidas isotônicas,11.22-4,11.2,11,C,2.3
1122-4/99,Fabricação de outras bebidas não alcoólicas não especificadas anteriormente,11.22-4,11.2,11,C,2.3
1210-7/00,Processamento industrial do fumo,12.10-7,12.1,12,C,2.3
